2.089179302193137910e-02 2.798005443854808053e-02 2.934435670379025751e+00 0.000000000000000000e+00
2.633719125752592705e-02 3.592249315019675759e-02 2.759292058353827404e+00 2.743637292772723585e-02
3.401218745811869504e-02 4.656784441817056475e-02 2.719938463136680973e+00 2.529093514081181410e-02
4.460515097605913942e-02 6.281089824600194493e-02 2.552501902273251133e+00 4.140450613412006292e-02
6.061463492007931886e-02 9.168137527381292617e-02 2.200364971684146020e+00 3.277865027217204824e-02
9.063693751984748526e-02 1.501757530914542282e-01 1.851127172862990111e+00 3.101625174260869144e-02
1.529373963816312854e-01 2.794197216381528737e-01 1.520907584938995250e+00 2.570495106879097311e-02
2.798508437263264037e-01 5.522980989720517320e-01 1.267419885364875043e+00 2.278981038397596970e-02
5.419166656349954092e-01 1.091144363862279976e+00 1.216795389013866968e+00 2.072913674904976536e-02
1.099060452562342860e+00 2.142695921574471196e+00 1.258297736068126671e+00 2.380151944534473693e-02
2.102519611248710785e+00 3.979217779083088491e+00 1.356699456296460937e+00 2.459048164107306006e-02
