2.089179302192990806e-02 2.798005443854831298e-02 2.965883820434355389e+00 4.194393123281194707e-02
2.798005443854831298e-02 3.695363338050128982e-02 2.809947971994671168e+00 2.863974368125193209e-02
3.695363338050128982e-02 4.869732180993773668e-02 2.663274586596330540e+00 1.924232183365551935e-02
4.869732180993773668e-02 6.460694398550778650e-02 2.543446083724073770e+00 1.298862795434851253e-02
6.460694398550778650e-02 9.066698922488733436e-02 2.134579653311259317e+00 7.707626910352770137e-03
9.066698922488733436e-02 1.474465302739938755e-01 1.526673190374535860e+00 3.898889783875491861e-03
1.474465302739938755e-01 2.741348355611246124e-01 1.170769073680086425e+00 2.112527233005259512e-03
2.741348355611246124e-01 5.416153706914333954e-01 1.035917344982393740e+00 1.321221641046184262e-03
5.416153706914333954e-01 1.106619631764501621e+00 9.864350309993983323e-01 8.896920122310623871e-04
1.106619631764501621e+00 2.244256665438763232e+00 9.772750006059025552e-01 6.233508217417908781e-04
2.244256665438763232e+00 4.259047115967201869e+00 1.022448344003643150e+00 4.616590044884014642e-04
