1.798442545398152778e-02 2.847130370220484430e+00 0.000000000000000000e+00
2.348896269753490695e-02 2.753171484375124489e+00 2.402935346631083352e-03
3.114946697916745263e-02 2.617700519943375603e+00 9.359943061723319940e-03
4.185493936567583062e-02 2.504999977998391802e+00 8.654845313729604347e-03
5.675080643420900295e-02 2.360925482467578274e+00 1.344433024277542042e-02
7.904607056962907607e-02 2.219617679919637876e+00 1.500320793278490938e-02
1.080297022779121985e-01 2.168613430589288349e+00 1.167362746271557138e-02
1.486081736349591231e-01 2.123535811977357302e+00 1.211895551433569106e-02
2.086226967908318686e-01 2.063238549820547441e+00 1.142314749618679286e-02
2.893698282947285705e-01 2.096538723545671168e+00 1.267420850401045594e-02
4.016990098651683772e-01 2.133836340583934010e+00 1.313588307627306523e-02
5.555677277507777845e-01 2.196763621230056529e+00 1.339362690939405187e-02
7.711791150756247548e-01 2.347068809567898651e+00 1.363774013800240874e-02
