5.742726239103097124e-02 1.219071122366408666e+01 0.000000000000000000e+00
6.182803544115908490e-02 1.079300854131343357e+01 3.660787612293570775e-02
6.758526267201031557e-02 9.355379988851591833e+00 1.907782786181238047e-02
7.550566669687339139e-02 7.763130500214823648e+00 3.329789770229479862e-02
8.676528629462587627e-02 6.128929832476338824e+00 3.960932103442205143e-02
1.048231608633640871e-01 4.770544522229684503e+00 3.097352230126019373e-02
1.293581034765191040e-01 3.835866391513279794e+00 2.231080347007603423e-02
1.657397244441470296e-01 3.165713232228100527e+00 1.733396824506693024e-02
2.217726482431963408e-01 2.670464676923488323e+00 1.270920420912272780e-02
2.992732682506989983e-01 2.451487729173865926e+00 1.360877139752150571e-02
4.089890551622701875e-01 2.335724057232570150e+00 1.338386045800991041e-02
5.609019019118055560e-01 2.307932270086411997e+00 1.349620258752787065e-02
7.749931212986066464e-01 2.395011183439518909e+00 1.372825135456284124e-02
