2.861503990486409243e+00 1.279703488122904513e-02 1.798442545398152778e-02
2.712535834015958436e+00 8.743730365405495697e-03 2.439142332059091034e-02
2.535383730938162827e+00 5.793108010587015577e-03 3.292400766221541264e-02
2.375498447542224945e+00 3.836688789324072674e-03 4.466053132402436621e-02
2.216311189717933061e+00 2.529779149842340587e-03 6.121007389909870200e-02
2.122111148709401540e+00 1.712173500198687585e-03 8.463574712797827804e-02
2.071142592721706421e+00 1.181388172029563784e-03 1.175257261616051707e-01
2.051683325476333586e+00 8.274420245470959744e-04 1.633297104820174428e-01
2.047579631277971934e+00 5.839094763480169896e-04 2.265960751752476021e-01
2.050601071519224661e+00 4.135005967503399744e-04 3.135503074678649416e-01
2.058204439622669746e+00 2.934850650165970998e-04 4.326719106996801401e-01
2.056423286979872422e+00 2.073581800704201253e-04 5.961495255435498297e-01
2.026502134469773786e+00 1.444998539740681366e-04 8.235815807244010189e-01
