1.213746191154626786e+01 5.428037981706398951e-02 5.742726239103097124e-02
1.007640776659964388e+01 3.248913531156879392e-02 6.265746738983138386e-02
8.233670257779568402e+00 1.884998068165632742e-02 6.903301629495067759e-02
6.492737846091941378e+00 1.051783880246538565e-02 7.757371063632248487e-02
4.984071871764928829e+00 5.705529955900641610e-03 8.986662069849485346e-02
3.812665753369191002e+00 3.081714300103557177e-03 1.082729738979563705e-01
3.015930681315803774e+00 1.721616735919155941e-03 1.360745235609792936e-01
2.559660026553058465e+00 1.032542966349109248e-03 1.773332616196785505e-01
2.313601239523704223e+00 6.597899229445317081e-04 2.368919802505952688e-01
2.187986555334849648e+00 4.411943079967703451e-04 3.209987031294967430e-01
2.128523822091898055e+00 3.035038202210648935e-04 4.380089926104729914e-01
2.091922357642062025e+00 2.109333992437130488e-04 5.999487474147326971e-01
2.043860456503083789e+00 1.457357204994876542e-04 8.262681685726316339e-01
