"","sample_size","ESSa","ESSa_seconds","ESSb","ESSb_seconds"
"...31",349,7.61928925919241,44.3270668983459,7.302899107793,40.4384360313416
"...32",349,7.6374167948086,47.2221350669861,7.48741984539839,39.3874790668488
"...33",349,7.48048859992587,44.2304198741913,7.43653121171648,40.2853660583496
"...34",349,7.83545793091426,45.60227394104,7.4974574509478,38.2879559993744
"...35",349,7.65905267426194,45.3658008575439,7.50799423099965,38.3843901157379
"...36",349,7.37885351816553,44.4773750305176,7.26246376706987,40.050675868988
"...37",349,7.39561006079079,44.32266497612,7.06119144390104,39.8395988941193
"...38",349,8.1205732158714,44.6548662185669,8.05864644572437,38.0792140960693
"...39",349,7.6158816445394,42.7720720767975,7.33982102465019,41.7659430503845
"...40",349,7.58879264419124,45.0208599567413,7.65200303503277,39.664999961853
"...41",349,7.36652916168407,21.673887014389,7.22998612452656,24.8636908531189
"...42",349,6.92563877259212,22.2881329059601,6.70809467546023,23.0186479091644
"...43",349,7.53757925342414,22.3609058856964,7.61476182736878,24.0350170135498
"...44",349,7.68347009903965,21.7383499145508,7.45553980411878,24.98126912117
"...45",349,7.69277158557663,21.8717088699341,7.58675364571106,25.4439759254456
"...46",349,7.37389324767739,22.2706570625305,7.08784325008907,23.4528288841248
"...47",349,7.37937979923532,22.1501450538635,7.32950416815582,24.0325610637665
"...48",349,7.50974320049366,21.4097640514374,7.34915833256055,23.6669280529022
"...49",349,7.39568908451402,21.3296370506287,7.09433892525945,25.0194602012634
"...50",349,7.04820679196454,22.5852029323578,7.16549278510345,23.9469089508057
"...1",174,7.69057086252742,23.8917880058289,7.48441949758438,36.5670490264893
"...2",174,7.08692917063192,23.9609489440918,6.86384121053261,39.3033101558685
"...3",174,7.42593081674341,24.041405916214,7.43149667095244,38.4549889564514
"...4",174,7.46216382832113,23.973895072937,7.20702718194174,39.2553250789642
"...5",174,7.06533162182601,22.8580498695374,6.97491274652589,35.5502510070801
"...6",174,7.71037332774227,24.2755181789398,7.61586199974922,38.985328912735
"...7",174,7.07003077409454,24.1006600856781,7.00946753401631,38.926420211792
"...8",174,6.89072626011916,24.0769999027252,6.59618024313605,39.5162711143494
"...9",174,7.59499582288552,24.0084908008575,7.86705736131505,38.0819029808044
"...10",174,7.65411630982658,23.2057869434357,7.47458935680682,35.0238749980927
"...11",174,7.26834647164431,1.04616978565852,6.97749877317147,35.8668010234833
"...12",174,7.37926710172644,1.03411910136541,7.41971172810618,36.0152978897095
"...13",174,7.63447851395474,1.04623846610387,7.39464210492773,35.7588620185852
"...14",174,7.81604645555847,1.04021608432134,7.79401313006006,35.779305934906
"...15",174,7.63290100034642,1.04956411918004,7.70146333090992,35.5134360790253
"...16",174,6.84274710538666,1.04084059794744,6.77160178893735,35.835921049118
"...17",174,7.61725175067461,1.04059940179189,7.36280346808254,35.7558259963989
"...18",174,7.38253318987297,1.03600915273031,7.44544269265943,35.8259189128876
"...19",174,7.9078075170981,1.0480987350146,7.84483238996545,35.199404001236
"...20",174,7.43431279850089,1.04937704801559,7.05678363905016,35.7442009449005
"...21",174,7.67780093437884,26.0561602115631,7.61550785345195,29.7581098079681
"...22",174,7.40303530306548,26.3223030567169,7.221727911619,31.5733089447021
"...23",174,7.01129297069412,24.1574399471283,6.90925846028771,30.311126947403
"...24",174,7.72557578813559,26.294958114624,7.15577447382671,31.5195500850677
"...25",174,6.90210245638465,21.1774210929871,6.9740111720759,32.2428510189056
"...26",174,7.20141086705853,25.5612671375275,7.22045330532808,31.4718079566956
