P      id           time        
48  11.51890  0.84895
75  13.54706  0.85197
192  17.28771  0.89969
363  19.35686  0.96983
768  21.00786  1.11374
1452  21.96409  1.09793
3072  22.09368  1.22682
6075  22.63003  1.60637
12288  22.68870  2.43548
24300  22.62658  3.90894
49152  22.65310  7.15368
98283  22.63517  13.37785
