"","sample_size","ESSa","ESSa_seconds","ESSb","ESSb_seconds"
"...32",7797,12.9109692288105,16.8648819923401,11.9475937126986,19.7653710842133
"...33",7797,12.8310509421612,22.9009811878204,12.720484204392,16.3957760334015
"...34",7797,12.6320238781231,13.7821340560913,12.2394805064146,18.947005033493
"...35",7797,12.780060820275,8.60878396034241,12.0248024671754,8.0752809047699
"...36",7797,12.8525713996611,23.0048198699951,12.5481014017949,16.6415450572968
"...37",7797,12.4508898060663,6.76292204856873,12.5489793180167,6.87579989433289
"...38",7797,12.9417873227464,7.93343496322632,12.5656383681713,7.75106906890869
"...39",7797,12.9223759207215,20.4685249328613,12.0950362757496,18.5917491912842
"...40",7797,12.7064475358862,8.99125504493713,12.6393999076577,8.48359704017639
"...41",7797,12.4487613686557,8.00676012039185,12.4147325959644,4.28471207618713
"...42",7797,12.6406028291145,5.54771995544434,12.9596008129448,7.23020005226135
"...43",7797,12.8516709355326,8.29291296005249,12.3424588612686,4.22429800033569
"...44",7797,12.84490825073,4.44314694404602,12.3618134549988,8.06299114227295
"...45",7797,12.8819230844731,5.86098217964172,12.1430563145437,5.16906309127808
"...46",7797,12.9138164441932,7.76469898223877,12.6571670492272,4.48824596405029
"...47",7797,12.4085914097836,13.3790957927704,12.2950349603167,6.78625202178955
"...48",7797,12.6029303202098,6.66329193115234,12.1899931319309,6.00668096542358
"...49",7797,12.7701773592141,8.35379314422607,12.5537589890001,4.37377691268921
"...50",7797,12.5289277294169,6.33002805709839,12.4578683321141,5.94636583328247
"...1",3898,12.5682874401614,5.80067682266235,12.0444226493459,5.82414388656616
"...2",3898,12.1240398903149,6.08242702484131,12.6225808520843,5.95033097267151
"...3",3898,12.8932474761705,5.86020612716675,12.5912966436963,5.78446888923645
"...4",3898,12.8395430717529,5.73513507843018,12.3019008916409,5.83134412765503
"...5",3898,12.4371996890405,5.67716121673584,12.5870459750592,6.13015794754028
"...6",3898,12.2950524726616,5.68715810775757,12.0002170700126,5.75098299980164
"...7",3898,12.5045859119938,6.01753401756287,12.3364040026907,7.38354396820068
"...8",3898,12.9086533951388,5.96743893623352,12.7289006880773,6.61118197441101
"...9",3898,13.0400116801596,5.88273692131042,12.5148634512503,6.71535587310791
"...10",3898,12.6897446714084,6.1835789680481,11.9436554022014,5.72858381271362
"...11",3898,12.8105120010973,5.95131802558899,12.2456230652388,8.35225200653076
"...12",3898,12.6257215279603,6.3769199848175,11.9801485624617,7.70984196662903
"...13",3898,12.4933979394749,5.96055579185486,12.0376273335246,8.08831810951233
"...14",3898,12.8220097291278,6.09826302528381,12.4851173231796,8.36953210830688
"...15",3898,12.9581396312004,6.10741496086121,12.5038580030025,7.97838711738586
"...16",3898,12.855879070832,6.12260484695435,12.8454805332867,8.34146094322205
"...17",3898,12.4226563875473,5.94608402252197,11.8856147276082,8.07237005233765
"...18",3898,12.5919224021723,6.29959797859192,12.3625585814524,8.17222213745117
"...19",3898,13.0245079906094,6.41357803344727,12.3521407776982,8.10948204994202
"...20",3898,12.8310175001909,5.87354421615601,12.24982690014,7.99907302856445
"...21",3898,12.7114989015318,7.41685390472412,12.5265287702419,4.894287109375
"...22",3898,12.6497479845292,7.30192685127258,12.4826858950369,4.88644814491272
