"","sample_size","ESSa","ESSa_seconds","ESSb","ESSb_seconds"
"...12",3371,6.67134363536425,1.79040908813477,6.00494445748375,2.1777241230011
"...13",3371,6.48228838677693,1.90713691711426,5.87314503035605,2.44864702224731
"...14",3371,6.59635640666734,1.85593414306641,6.16466191578096,2.32919979095459
"...15",3371,6.6852493650489,1.83993005752563,5.84121023062653,2.78044891357422
"...16",3371,6.58710071820047,1.75990009307861,6.13406717114994,2.80634713172913
"...17",3371,6.41695787360418,2.48258399963379,5.9185521057805,2.51205015182495
"...18",3371,6.59949463308213,2.50982093811035,6.04679086909594,2.4187490940094
"...19",3371,6.74586018062208,2.14721322059631,5.91216345530951,2.28521704673767
"...20",3371,6.60722567382471,2.38549590110779,5.95653746347605,2.62558603286743
"...21",3371,6.41774908953474,2.56028509140015,6.01123791643356,2.51940512657166
"...22",3371,6.55623041966351,2.48088598251343,5.99263162522131,2.54582214355469
"...23",3371,6.70716014955352,2.39344191551208,6.00969380265406,2.3514461517334
"...24",3371,6.7285230684918,2.52133083343506,6.09545324017648,2.38624811172485
"...25",3371,6.61711693334966,2.5998649597168,5.97808609516158,2.77557015419006
"...26",3371,6.51781792223405,2.52076101303101,5.94908641730692,2.67667102813721
"...27",3371,6.59868853645103,2.25918912887573,5.98523880530552,2.4830060005188
"...28",3371,6.6099797921308,2.397381067276,6.00684424969605,2.35236477851868
"...29",3371,6.49288466790189,2.5350239276886,6.10540659897841,2.70241785049438
"...30",3371,6.83813466003854,2.60372281074524,6.17150145542857,2.64158511161804
"...31",3371,6.60347952829847,2.49257397651672,5.85668798042328,2.73661398887634
"...32",3371,6.47286970606841,2.48579287528992,5.92197717350758,2.72005915641785
"...33",3371,6.60869050883035,2.8743999004364,6.05396381480071,2.53003597259521
"...34",3371,6.48253079810331,2.88689708709717,6.01868969781844,2.70748400688171
"...35",3371,6.49303740607105,1.77962207794189,5.92557688394476,2.35700011253357
"...36",3371,6.59384322340733,2.39974308013916,6.03657948249393,2.52430319786072
"...37",3371,6.54876042006497,2.97172117233276,6.15448362554511,2.63560819625854
"...38",3371,6.66589911018432,2.90037703514099,6.2064982446906,2.52117896080017
"...39",3371,6.52731056106333,2.9699010848999,5.78788162184916,2.59685611724854
"...40",3371,6.63841576045353,2.94447708129883,6.1443839519898,2.61559295654297
"...41",3371,6.30138681361107,2.3942129611969,5.95062152261401,1.82182288169861
"...42",3371,6.66854857239767,2.5622878074646,6.20593510634372,1.60351705551147
"...43",3371,6.69452007898318,1.7063159942627,5.91743599577451,2.49445581436157
"...44",3371,6.67652162430658,1.9028160572052,6.24591137681565,2.29510903358459
"...45",3371,6.72905301391372,2.50280690193176,5.9944132250382,1.67567682266235
"...46",3371,6.75246623181044,2.50164484977722,6.33832818335108,1.72486186027527
"...47",3371,6.65261962062484,2.50388503074646,6.14358735386241,1.67917799949646
"...48",3371,6.49510970572113,2.46471691131592,5.89982183098131,1.75020313262939
"...49",3371,6.64249418929957,1.37224507331848,5.99023644225003,1.37623596191406
"...50",3371,6.80256300236116,1.52202701568604,6.10251180508611,1.25668382644653
"...1",1686,6.22066327958685,1.92868685722351,5.86624423002094,1.94507002830505
"...2",1686,6.83218041223738,1.87874794006348,6.08996160091479,1.96563196182251
"...3",1686,6.56933244829722,1.92820501327515,6.12495943416746,1.99067997932434
"...4",1686,6.60366861885798,1.90676593780518,6.23190661175276,1.95780611038208
"...5",1686,6.46549996588656,1.92188811302185,5.98982463643455,1.93353700637817
"...6",1686,6.49643604727908,1.92050504684448,6.02803284495053,1.9344539642334
"...7",1686,6.50678982692285,1.91915106773376,6.00729762772513,1.94086503982544
"...8",1686,6.5732673046036,1.93250799179077,6.0347712154958,1.96215605735779
